ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
293,293,10148378,10185537,10593766
294,294,10526236,10565042,10945889
295,295,10056340,10099911,10518903
296,296,11058418,11096181,11462967
297,297,10467694,10507672,10929211
298,298,10683211,10720903,11119714
299,299,10511280,10543626,10953113
300,300,10063282,10102792,10548879
301,301,10235647,10271792,10659842
302,302,10461981,10499055,10936018
303,303,10265169,10310601,10723663
304,304,10652448,10698115,11062930
305,305,11322248,11363652,11764476
306,306,11058354,11096711,11459155
307,307,10999802,11040256,11475510
308,308,11165572,11208887,11646290
309,309,11148717,11185170,11618092
310,310,10573039,10612827,11058605
311,311,10747223,10789801,11174413
312,312,11038963,11080017,11489037
313,313,11569001,11605447,12033463
314,314,10893310,10932348,11347460
315,315,10638529,10673309,11104137
316,316,11275028,11312636,11746212
317,317,11032811,11076616,11564096
318,318,11531572,11572875,12027286
319,319,11555006,11595229,12081756
320,320,11075816,11114285,11561194
321,321,12104574,12144265,12615185
322,322,11524801,11565862,12016782
323,323,11628763,11664576,12180533
324,324,11171041,11212146,11651264
325,325,11879174,11916730,12385697
326,326,11473946,11516514,11981597
327,327,12122978,12162063,12651340
328,328,11181721,11218269,11735115
329,329,11874687,11915886,12380746
330,330,11723315,11765034,12244005
331,331,12024309,12066047,12535668
332,332,11943379,11983024,12437760
333,333,11510237,11548255,12054419
334,334,11763577,11806406,12325851
335,335,12641372,12685050,13137445
336,336,12046694,12085838,12571120
337,337,12855123,12899090,13351579
338,338,12423049,12468806,12976818
339,339,11777965,11817149,12324707
340,340,12067994,12107773,12605553
341,341,11546792,11591584,12093483
342,342,12324601,12363438,12897219
343,343,12706876,12749201,13268793
344,344,12648878,12689772,13191526
345,345,11849997,11883934,12444151
346,346,11598937,11636276,12171952
347,347,13089761,13134576,13644076
348,348,11478258,11513385,12027883
349,349,12995557,13035985,13548357
350,350,11971009,12015930,12568922
351,351,12087214,12128463,12693915
352,352,12460845,12503302,13032137
353,353,13216290,13257197,13764717
354,354,12714754,12756174,13291184
355,355,12846857,12888762,13428939
356,356,12269825,12312957,12864304
357,357,12910920,12953682,13494876
358,358,13036752,13083180,13608954
359,359,13499715,13546311,14070983
360,360,13719586,13776155,14249288
361,361,14109833,14159342,14674376
362,362,13329877,13374594,13901429
363,363,12896823,12940882,13539079
364,364,13356363,13402706,13967200
365,365,12999389,13044480,13614632
366,366,13369745,13414194,13955871
367,367,13636826,13684900,14239691
368,368,14067270,14117678,14644959
369,369,13160244,13206882,13751519
370,370,13844045,13890762,14463517
371,371,12848692,12891963,13437612
372,372,13424485,13469465,14001617
373,373,13364107,13411842,13992085
374,374,14159392,14206955,14734938
375,375,13010215,13053604,13611157
376,376,13826493,13871240,14527747
377,377,13590273,13635723,14164406
378,378,14138472,14185912,14775777
379,379,13599477,13643343,14212324
380,380,13458040,13504168,14061282
381,381,14386784,14438638,14980667
382,382,14066643,14120677,14674567
383,383,14212314,14267007,14836637
384,384,13789296,13835610,14404010
385,385,14349124,14405324,14941593
386,386,14962709,15019334,15593362
387,387,14593463,14644829,15185013
388,388,13983625,14030714,14675928
389,389,14076056,14126610,14688768
390,390,14385115,14439170,14999475
391,391,14318067,14371237,14972343
392,392,14777383,14825753,15431592
393,393,14589280,14645301,15225525
394,394,14359649,14411953,15019598
395,395,14189442,14240482,14852885
396,396,14512653,14569868,15127716
397,397,15211221,15265523,15815584
398,398,14652825,14711271,15290859
399,399,14518449,14569910,15165380
400,400,14452914,14499771,15120067
401,401,15092175,15148857,15752826
402,402,14805291,14861829,15416715
403,403,14379938,14427970,15040844
404,404,14902622,14954890,15567938
405,405,14800183,14859860,15471442
406,406,15352726,15404729,15999079
407,407,14822249,14884724,15451246
