ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
811,811,58926391,58926391,58926391
812,812,10255401,10255401,10255401
813,813,40054476,40054476,40054476
814,814,59930943,59930943,59930943
815,815,22709934,22709934,22709934
816,816,69483134,69483134,69483134
817,817,46813937,46813937,46813937
818,818,20726964,20726964,20726964
819,819,33990272,33990272,33990272
820,820,323415,323415,323415
821,821,50062332,50062332,50062332
822,822,51025560,51025560,51025560
823,823,41670958,41670958,41670958
824,824,31097781,31097781,31097781
825,825,32631633,32631633,32631633
826,826,16820287,16820287,16820287
827,827,61996551,61996551,61996551
828,828,55287336,55287336,55287336
829,829,16089447,16089447,16089447
830,830,48895770,48895770,48895770
831,831,39527849,39527849,39527849
832,832,57433020,57433020,57433020
833,833,47370258,47370258,47370258
834,834,24985070,24985070,24985070
835,835,46934789,46934789,46934789
836,836,22121817,22121817,22121817
837,837,68037536,68037536,68037536
838,838,65161115,65161115,65161115
839,839,64010229,64010229,64010229
840,840,33987587,33987587,33987587
841,841,70885451,70885451,70885451
842,842,55359918,55359918,55359918
843,843,9582764,9582764,9582764
844,844,19131952,19131952,19131952
845,845,23292684,23292684,23292684
846,846,60097290,60097290,60097290
847,847,14981113,14981113,14981113
848,848,33093744,33093744,33093744
849,849,71151132,71151132,71151132
850,850,67076033,67076033,67076033
851,851,44329761,44329761,44329761
852,852,64372525,64372525,64372525
853,853,2450542,2450542,2450542
854,854,18975567,18975567,18975567
855,855,14267541,14267541,14267541
856,856,47093280,47093280,47093280
857,857,56337435,56337435,56337435
858,858,9178771,9178771,9178771
859,859,3591498,3591498,3591498
860,860,20189007,20189007,20189007
861,861,2886860,2886860,2886860
862,862,42013461,42013461,42013461
863,863,47834760,47834760,47834760
864,864,2692331,2692331,2692331
865,865,57850275,57850275,57850275
866,866,13688130,13688130,13688130
867,867,75413793,75413793,75413793
868,868,10450121,10450121,10450121
869,869,55274400,55274400,55274400
870,870,34968163,34968163,34968163
871,871,32804614,32804614,32804614
872,872,27837684,27837684,27837684
873,873,22286696,22286696,22286696
874,874,3067619,3067619,3067619
875,875,12239934,12239934,12239934
876,876,12495911,12495911,12495911
877,877,39545186,39545186,39545186
878,878,51386472,51386472,51386472
